Polyelectrolytes;D01.248.249
Activated-Leukocyte Cell Adhesion Molecule;D12.776.543.550.200.250.150.050
Contactins;D12.776.543.550.200.250.325
Contactin 1;D12.776.543.550.200.250.325.100
Contactin 2;D12.776.543.550.200.250.325.200
Myelin P0 Protein;D12.776.543.550.200.250.500
Neural Cell Adhesion Molecules;D12.776.543.550.200.250.520
Antigens, CD56;D12.776.543.550.200.250.520.156
Neural Cell Adhesion Molecule L1;D12.776.543.550.200.250.520.578
Neurocan;D12.776.543.550.200.250.520.789
Epithelial Cell Adhesion Molecule;D12.776.543.550.200.263
Integrin alphaXbeta2;D12.776.543.550.200.275
Antigens, CD11c;D12.776.543.550.200.275.500
Antigens, CD18;D12.776.543.550.200.275.750
Intercellular Adhesion Molecule-1;D12.776.543.550.200.450
Junctional Adhesion Molecules;D12.776.543.550.200.537
Coxsackie and Adenovirus Receptor-Like Membrane Protein;D12.776.543.550.200.537.500
Junctional Adhesion Molecule A;D12.776.543.550.200.537.750
Junctional Adhesion Molecule B;D12.776.543.550.200.537.875
Junctional Adhesion Molecule C;D12.776.543.550.200.537.937
Receptors, Lymphocyte Homing;D12.776.543.550.200.625
Antigens, CD44;D12.776.543.550.200.625.144
Integrin alpha4beta1;D12.776.543.550.200.625.347
Lymphocyte Function-Associated Antigen-1;D12.776.543.550.200.625.550
L-Selectin;D12.776.543.550.200.625.903
Selectins;D12.776.543.550.200.700
E-Selectin;D12.776.543.550.200.700.300
L-Selectin;D12.776.543.550.200.700.510
P-Selectin;D12.776.543.550.200.700.775
Sialic Acid Binding Ig-like Lectin 2;D12.776.543.550.200.810
Vascular Cell Adhesion Molecule-1;D12.776.543.550.200.920
Ectodysplasins;D12.776.543.550.275
Fas Ligand Protein;D12.776.543.550.312
Fibronectins;D12.776.543.550.350
GAP-43 Protein;D12.776.543.550.400
GPI-Linked Proteins;D12.776.543.550.418
Antigens, CD14;D12.776.543.550.418.100
Antigens, CD24;D12.776.543.550.418.120
Antigens, CD55;D12.776.543.550.418.130
Antigens, CD59;D12.776.543.550.418.140
Carbonic Anhydrase IV;D12.776.543.550.418.160
CD48 Antigen;D12.776.543.550.418.180
Ciliary Neurotrophic Factor Receptor alpha Subunit;D12.776.543.550.418.200
Contactins;D12.776.543.550.418.250
Contactin 1;D12.776.543.550.418.250.100
Contactin 2;D12.776.543.550.418.250.200
Ephrin-A1;D12.776.543.550.418.300
Ephrin-A2;D12.776.543.550.418.310
Ephrin-A3;D12.776.543.550.418.320
Ephrin-A4;D12.776.543.550.418.330
Ephrin-A5;D12.776.543.550.418.340
Folate Receptors, GPI-Anchored;D12.776.543.550.418.370
Folate Receptor 1;D12.776.543.550.418.370.500
Folate Receptor 2;D12.776.543.550.418.370.750
Glial Cell Line-Derived Neurotrophic Factor Receptors;D12.776.543.550.418.400
Glypicans;D12.776.543.550.418.500
Prion Proteins;D12.776.543.550.418.600
Matrix Metalloproteinase 17;D12.776.543.550.418.700
Nogo Receptors;D12.776.543.550.418.738
Nogo Receptor 2;D12.776.543.550.418.738.250
Nogo Receptor 1;D12.776.543.550.418.738.500
Oligodendrocyte-Myelin Glycoprotein;D12.776.543.550.418.775
Uromodulin;D12.776.543.550.418.850
Hepatitis A Virus Cellular Receptor 1;D12.776.543.550.435
Hepatitis A Virus Cellular Receptor 2;D12.776.543.550.437
Histocompatibility Antigens Class I;D12.776.543.550.439
Hemochromatosis Protein;D12.776.543.550.439.200
HLA-A Antigens;D12.776.543.550.439.400
HLA-A1 Antigen;D12.776.543.550.439.400.010
HLA-A2 Antigen;D12.776.543.550.439.400.020
HLA-A3 Antigen;D12.776.543.550.439.400.030
HLA-A11 Antigen;D12.776.543.550.439.400.110
HLA-A24 Antigen;D12.776.543.550.439.400.240
HLA-B Antigens;D12.776.543.550.439.500
HLA-B7 Antigen;D12.776.543.550.439.500.070
HLA-B8 Antigen;D12.776.543.550.439.500.080
HLA-B13 Antigen;D12.776.543.550.439.500.130
HLA-B14 Antigen;D12.776.543.550.439.500.140
HLA-B15 Antigen;D12.776.543.550.439.500.150
HLA-B18 Antigen;D12.776.543.550.439.500.180
HLA-B27 Antigen;D12.776.543.550.439.500.270
HLA-B35 Antigen;D12.776.543.550.439.500.350
HLA-B37 Antigen;D12.776.543.550.439.500.370
HLA-B38 Antigen;D12.776.543.550.439.500.380
HLA-B39 Antigen;D12.776.543.550.439.500.390
HLA-B40 Antigen;D12.776.543.550.439.500.400
HLA-B44 Antigen;D12.776.543.550.439.500.440
HLA-B51 Antigen;D12.776.543.550.439.500.510
HLA-B52 Antigen;D12.776.543.550.439.500.520
HLA-C Antigens;D12.776.543.550.439.600
HLA-G Antigens;D12.776.543.550.439.700
Histocompatibility Antigens Class II;D12.776.543.550.440
HLA-D Antigens;D12.776.543.550.440.400
HLA-DP Antigens;D12.776.543.550.440.400.420
HLA-DP alpha-Chains;D12.776.543.550.440.400.420.500
HLA-DP beta-Chains;D12.776.543.550.440.400.420.750
HLA-DQ Antigens;D12.776.543.550.440.400.430
HLA-DQ alpha-Chains;D12.776.543.550.440.400.430.500
HLA-DQ beta-Chains;D12.776.543.550.440.400.430.750
HLA-DR Antigens;D12.776.543.550.440.400.440
HLA-DR alpha-Chains;D12.776.543.550.440.400.440.100
HLA-DR beta-Chains;D12.776.543.550.440.400.440.200
HLA-DRB1 Chains;D12.776.543.550.440.400.440.200.010
HLA-DRB3 Chains;D12.776.543.550.440.400.440.200.030
HLA-DRB4 Chains;D12.776.543.550.440.400.440.200.040
HLA-DRB5 Chains;D12.776.543.550.440.400.440.200.050
HLA-DR Serological Subtypes;D12.776.543.550.440.400.440.400
HLA-DR1 Antigen;D12.776.543.550.440.400.440.400.010
HLA-DR2 Antigen;D12.776.543.550.440.400.440.400.020
HLA-DR3 Antigen;D12.776.543.550.440.400.440.400.030
HLA-DR4 Antigen;D12.776.543.550.440.400.440.400.040
HLA-DR5 Antigen;D12.776.543.550.440.400.440.400.050
HLA-DR6 Antigen;D12.776.543.550.440.400.440.400.060
HLA-DR7 Antigen;D12.776.543.550.440.400.440.400.070
Ion Channels;D12.776.543.550.450
Calcium Channels;D12.776.543.550.450.150
Calcium Channels, L-Type;D12.776.543.550.450.150.400
Calcium Channels, N-Type;D12.776.543.550.450.150.585
Calcium Channels, P-Type;D12.776.543.550.450.150.585.792
Calcium Channels, Q-Type;D12.776.543.550.450.150.585.826
Calcium Channels, R-Type;D12.776.543.550.450.150.585.867
Calcium Channels, T-Type;D12.776.543.550.450.150.720
Calcium Release Activated Calcium Channels;D12.776.543.550.450.150.740
ORAI1 Protein;D12.776.543.550.450.150.740.500
ORAI2 Protein;D12.776.543.550.450.150.740.750
Inositol 1,4,5-Trisphosphate Receptors;D12.776.543.550.450.150.760
Ryanodine Receptor Calcium Release Channel;D12.776.543.550.450.150.800
Chloride Channels;D12.776.543.550.450.175
Cystic Fibrosis Transmembrane Conductance Regulator;D12.776.543.550.450.175.125
Receptors, GABA-A;D12.776.543.550.450.175.562
Receptors, Glycine;D12.776.543.550.450.175.781
Cyclic Nucleotide-Gated Cation Channels;D12.776.543.550.450.452
Hyperpolarization-Activated Cyclic Nucleotide-Gated Channels;D12.776.543.550.450.476
Ligand-Gated Ion Channels;D12.776.543.550.450.500
Cysteine Loop Ligand-Gated Ion Channel Receptors;D12.776.543.550.450.500.100
Receptors, GABA-A;D12.776.543.550.450.500.100.100
Receptors, Glycine;D12.776.543.550.450.500.100.200
Receptors, Nicotinic;D12.776.543.550.450.500.100.500
alpha7 Nicotinic Acetylcholine Receptor;D12.776.543.550.450.500.100.500.500
Receptors, Serotonin, 5-HT3;D12.776.543.550.450.500.100.700
Receptors, Ionotropic Glutamate;D12.776.543.550.450.500.200
Receptors, AMPA;D12.776.543.550.450.500.200.100
Receptors, Kainic Acid;D12.776.543.550.450.500.200.200
Receptors, N-Methyl-D-Aspartate;D12.776.543.550.450.500.200.500
Receptors, Purinergic P2X;D12.776.543.550.450.500.600
Receptors, Purinergic P2X1;D12.776.543.550.450.500.600.100
Receptors, Purinergic P2X2;D12.776.543.550.450.500.600.200
Receptors, Purinergic P2X3;D12.776.543.550.450.500.600.300
Receptors, Purinergic P2X4;D12.776.543.550.450.500.600.400
Receptors, Purinergic P2X5;D12.776.543.550.450.500.600.500
Receptors, Purinergic P2X7;D12.776.543.550.450.500.600.700
Porins;D12.776.543.550.450.730
Aquaporins;D12.776.543.550.450.730.040
Aquaglyceroporins;D12.776.543.550.450.730.040.249
Aquaporin 3;D12.776.543.550.450.730.040.249.500
Aquaporin 6;D12.776.543.550.450.730.040.249.750
Aquaporin 1;D12.776.543.550.450.730.040.374
Aquaporin 2;D12.776.543.550.450.730.040.437
Aquaporin 4;D12.776.543.550.450.730.040.468
Aquaporin 5;D12.776.543.550.450.730.040.484
Voltage-Dependent Anion Channels;D12.776.543.550.450.730.520
Voltage-Dependent Anion Channel 1;D12.776.543.550.450.730.520.500
Voltage-Dependent Anion Channel 2;D12.776.543.550.450.730.520.750
Potassium Channels;D12.776.543.550.450.750
Potassium Channels, Calcium-Activated;D12.776.543.550.450.750.150
Intermediate-Conductance Calcium-Activated Potassium Channels;D12.776.543.550.450.750.150.249
Large-Conductance Calcium-Activated Potassium Channels;D12.776.543.550.450.750.150.500
Large-Conductance Calcium-Activated Potassium Channel alpha Subunits;D12.776.543.550.450.750.150.500.500
Large-Conductance Calcium-Activated Potassium Channel beta Subunits;D12.776.543.550.450.750.150.500.750
Small-Conductance Calcium-Activated Potassium Channels;D12.776.543.550.450.750.150.750
Potassium Channels, Inwardly Rectifying;D12.776.543.550.450.750.450
G Protein-Coupled Inwardly-Rectifying Potassium Channels;D12.776.543.550.450.750.450.500
KATP Channels;D12.776.543.550.450.750.450.550
Sulfonylurea Receptors;D12.776.543.550.450.750.450.550.500
Potassium Channels, Tandem Pore Domain;D12.776.543.550.450.750.850
Potassium Channels, Voltage-Gated;D12.776.543.550.450.750.900
Delayed Rectifier Potassium Channels;D12.776.543.550.450.750.900.124
KCNQ Potassium Channels;D12.776.543.550.450.750.900.124.249
KCNQ1 Potassium Channel;D12.776.543.550.450.750.900.124.249.500
KCNQ2 Potassium Channel;D12.776.543.550.450.750.900.124.249.750
KCNQ3 Potassium Channel;D12.776.543.550.450.750.900.124.249.875
Kv1.1 Potassium Channel;D12.776.543.550.450.750.900.124.311
Kv1.2 Potassium Channel;D12.776.543.550.450.750.900.124.342
Kv1.3 Potassium Channel;D12.776.543.550.450.750.900.124.358
Kv1.5 Potassium Channel;D12.776.543.550.450.750.900.124.374
Kv1.6 Potassium Channel;D12.776.543.550.450.750.900.124.437
Shab Potassium Channels;D12.776.543.550.450.750.900.124.500
Ether-A-Go-Go Potassium Channels;D12.776.543.550.450.750.900.249
ERG1 Potassium Channel;D12.776.543.550.450.750.900.249.500
Shaker Superfamily of Potassium Channels;D12.776.543.550.450.750.900.500
Kv1.1 Potassium Channel;D12.776.543.550.450.750.900.500.124
Kv1.2 Potassium Channel;D12.776.543.550.450.750.900.500.186
Kv1.4 Potassium Channel;D12.776.543.550.450.750.900.500.233
Kv1.5 Potassium Channel;D12.776.543.550.450.750.900.500.241
Shab Potassium Channels;D12.776.543.550.450.750.900.500.249
Shal Potassium Channels;D12.776.543.550.450.750.900.500.625
Shaw Potassium Channels;D12.776.543.550.450.750.900.500.750
Sodium Channels;D12.776.543.550.450.875
Acid Sensing Ion Channels;D12.776.543.550.450.875.050
Degenerin Sodium Channels;D12.776.543.550.450.875.100
Epithelial Sodium Channels;D12.776.543.550.450.875.200
Voltage-Gated Sodium Channels;D12.776.543.550.450.875.750
NAV1.1 Voltage-Gated Sodium Channel;D12.776.543.550.450.875.750.100
NAV1.2 Voltage-Gated Sodium Channel;D12.776.543.550.450.875.750.200
NAV1.3 Voltage-Gated Sodium Channel;D12.776.543.550.450.875.750.300
NAV1.4 Voltage-Gated Sodium Channel;D12.776.543.550.450.875.750.400
NAV1.5 Voltage-Gated Sodium Channel;D12.776.543.550.450.875.750.500
NAV1.6 Voltage-Gated Sodium Channel;D12.776.543.550.450.875.750.600
NAV1.7 Voltage-Gated Sodium Channel;D12.776.543.550.450.875.750.700
NAV1.8 Voltage-Gated Sodium Channel;D12.776.543.550.450.875.750.800
NAV1.9 Voltage-Gated Sodium Channel;D12.776.543.550.450.875.750.900
Voltage-Gated Sodium Channel beta Subunits;D12.776.543.550.450.875.750.970
Voltage-Gated Sodium Channel beta-1 Subunit;D12.776.543.550.450.875.750.970.100
Voltage-Gated Sodium Channel beta-2 Subunit;D12.776.543.550.450.875.750.970.200
Voltage-Gated Sodium Channel beta-3 Subunit;D12.776.543.550.450.875.750.970.300
Voltage-Gated Sodium Channel beta-4 Subunit;D12.776.543.550.450.875.750.970.400
Laminin;D12.776.543.550.500
Lysosome-Associated Membrane Glycoproteins;D12.776.543.550.527
Antigens, CD63;D12.776.543.550.527.249
Lysosomal-Associated Membrane Protein 1;D12.776.543.550.527.500
Lysosomal-Associated Membrane Protein 2;D12.776.543.550.527.750
Lysosomal-Associated Membrane Protein 3;D12.776.543.550.527.875
Mucin-1;D12.776.543.550.530
Mucin-3;D12.776.543.550.542
Myelin-Associated Glycoprotein;D12.776.543.550.555
OX40 Ligand;D12.776.543.550.590
PHEX Phosphate Regulating Neutral Endopeptidase;D12.776.543.550.607
Platelet Membrane Glycoproteins;D12.776.543.550.625
Antigens, CD36;D12.776.543.550.625.136
Integrin alpha2beta1;D12.776.543.550.625.298
Integrin alpha5beta1;D12.776.543.550.625.379
Integrin alpha6beta1;D12.776.543.550.625.419
Integrin alphaVbeta3;D12.776.543.550.625.439
Lysosomal-Associated Membrane Protein 1;D12.776.543.550.625.449
Platelet Glycoprotein GPIb-IX Complex;D12.776.543.550.625.460
Platelet Glycoprotein GPIIb-IIIa Complex;D12.776.543.550.625.785
Receptors, Thrombin;D12.776.543.550.625.800
Receptor, PAR-1;D12.776.543.550.625.800.790
Thrombomodulin;D12.776.543.550.625.800.800
P-Selectin;D12.776.543.550.625.905
Sarcoglycans;D12.776.543.550.712
Signaling Lymphocytic Activation Molecule Family;D12.776.543.550.746
CD48 Antigen;D12.776.543.550.746.250
Signaling Lymphocytic Activation Molecule Family Member 1;D12.776.543.550.746.500
SLC4A Proteins;D12.776.543.550.779
Chloride-Bicarbonate Antiporters;D12.776.543.550.779.249
Anion Exchange Protein 1, Erythrocyte;D12.776.543.550.779.249.500
Sodium-Bicarbonate Symporters;D12.776.543.550.779.500
Syndecans;D12.776.543.550.847
Syndecan-1;D12.776.543.550.847.100
Syndecan-2;D12.776.543.550.847.200
Syndecan-3;D12.776.543.550.847.300
Syndecan-4;D12.776.543.550.847.400
Thrombospondins;D12.776.543.550.895
Thrombospondin 1;D12.776.543.550.895.800
Uroplakins;D12.776.543.550.942
Uroplakin Ia;D12.776.543.550.942.100
Uroplakin Ib;D12.776.543.550.942.150
Uroplakin II;D12.776.543.550.942.200
Uroplakin III;D12.776.543.550.942.300
Variant Surface Glycoproteins, Trypanosoma;D12.776.543.550.990
Zona Pellucida Glycoproteins;D12.776.543.550.995
Membrane Transport Proteins;D12.776.543.585
ATP-Binding Cassette Transporters;D12.776.543.585.100
ATP Binding Cassette Transporter 1;D12.776.543.585.100.151
ATP Binding Cassette Transporter, Sub-Family G;D12.776.543.585.100.228
ATP Binding Cassette Transporter, Sub-Family G, Member 1;D12.776.543.585.100.228.250
ATP Binding Cassette Transporter, Sub-Family G, Member 2;D12.776.543.585.100.228.500
ATP Binding Cassette Transporter, Sub-Family G, Member 5;D12.776.543.585.100.228.750
ATP Binding Cassette Transporter, Sub-Family G, Member 8;D12.776.543.585.100.228.875
Multidrug Resistance-Associated Proteins;D12.776.543.585.100.304
Cystic Fibrosis Transmembrane Conductance Regulator;D12.776.543.585.100.304.500
P-Glycoproteins;D12.776.543.585.100.610
Antigen Peptide Transporter-1;D12.776.543.585.100.610.250
Antigen Peptide Transporter-2;D12.776.543.585.100.610.375
P-Glycoprotein;D12.776.543.585.100.610.500
Sulfonylurea Receptors;D12.776.543.585.100.805
Amino Acid Transport Systems;D12.776.543.585.200
Amino Acid Transport Systems, Acidic;D12.776.543.585.200.249
Amino Acid Transport System X-AG;D12.776.543.585.200.249.500
Glutamate Plasma Membrane Transport Proteins;D12.776.543.585.200.249.500.500
Excitatory Amino Acid Transporter 1;D12.776.543.585.200.249.500.500.500
Excitatory Amino Acid Transporter 2;D12.776.543.585.200.249.500.500.750
Excitatory Amino Acid Transporter 3;D12.776.543.585.200.249.500.500.875
Excitatory Amino Acid Transporter 4;D12.776.543.585.200.249.500.500.937
Excitatory Amino Acid Transporter 5;D12.776.543.585.200.249.500.500.968
Amino Acid Transport Systems, Basic;D12.776.543.585.200.374
Amino Acid Transport System y+;D12.776.543.585.200.374.600
Cationic Amino Acid Transporter 1;D12.776.543.585.200.374.600.200
Cationic Amino Acid Transporter 2;D12.776.543.585.200.374.600.300
Amino Acid Transport System y+L;D12.776.543.585.200.374.750
Antigens, CD98;D12.776.543.585.200.374.750.500
Antigens, CD98 Heavy Chain;D12.776.543.585.200.374.750.500.250
Antigens, CD98 Light Chains;D12.776.543.585.200.374.750.500.500
Amino Acid Transport Systems, Neutral;D12.776.543.585.200.500
Amino Acid Transport System A;D12.776.543.585.200.500.100
Amino Acid Transport System ASC;D12.776.543.585.200.500.200
Amino Acid Transport System L;D12.776.543.585.200.500.500
Antigens, CD98;D12.776.543.585.200.500.500.500
Antigens, CD98 Heavy Chain;D12.776.543.585.200.500.500.500.250
Antigens, CD98 Light Chains;D12.776.543.585.200.500.500.500.500
Large Neutral Amino Acid-Transporter 1;D12.776.543.585.200.500.500.500.500.500
Glycine Plasma Membrane Transport Proteins;D12.776.543.585.200.500.875
Connexins;D12.776.543.585.250
Connexin 26;D12.776.543.585.250.100
Connexin 43;D12.776.543.585.250.200
Fatty Acid Transport Proteins;D12.776.543.585.300
Antigens, CD36;D12.776.543.585.300.500
Ion Channels;D12.776.543.585.400
Calcium Channels;D12.776.543.585.400.150
Calcium Channels, L-Type;D12.776.543.585.400.150.400
Calcium Channels, N-Type;D12.776.543.585.400.150.585
Calcium Channels, P-Type;D12.776.543.585.400.150.585.792
Calcium Channels, Q-Type;D12.776.543.585.400.150.585.826
Calcium Channels, R-Type;D12.776.543.585.400.150.585.867
Calcium Channels, T-Type;D12.776.543.585.400.150.720
Calcium Release Activated Calcium Channels;D12.776.543.585.400.150.740
ORAI1 Protein;D12.776.543.585.400.150.740.500
ORAI2 Protein;D12.776.543.585.400.150.740.750
Inositol 1,4,5-Trisphosphate Receptors;D12.776.543.585.400.150.760
Ryanodine Receptor Calcium Release Channel;D12.776.543.585.400.150.800
TRPP Cation Channels;D12.776.543.585.400.150.900
Chloride Channels;D12.776.543.585.400.175
Cystic Fibrosis Transmembrane Conductance Regulator;D12.776.543.585.400.175.125
Receptors, GABA-A;D12.776.543.585.400.175.562
Receptors, Glycine;D12.776.543.585.400.175.781
Cyclic Nucleotide-Gated Cation Channels;D12.776.543.585.400.452
Hyperpolarization-Activated Cyclic Nucleotide-Gated Channels;D12.776.543.585.400.476
Ligand-Gated Ion Channels;D12.776.543.585.400.500
Cysteine Loop Ligand-Gated Ion Channel Receptors;D12.776.543.585.400.500.100
Receptors, GABA-A;D12.776.543.585.400.500.100.100
Receptors, Glycine;D12.776.543.585.400.500.100.200
Receptors, Nicotinic;D12.776.543.585.400.500.100.500
alpha7 Nicotinic Acetylcholine Receptor;D12.776.543.585.400.500.100.500.500
Receptors, Serotonin, 5-HT3;D12.776.543.585.400.500.100.700
Receptors, Ionotropic Glutamate;D12.776.543.585.400.500.200
Receptors, AMPA;D12.776.543.585.400.500.200.100
Receptors, Kainic Acid;D12.776.543.585.400.500.200.200
Receptors, N-Methyl-D-Aspartate;D12.776.543.585.400.500.200.500
Receptors, Purinergic P2X;D12.776.543.585.400.500.600
Receptors, Purinergic P2X1;D12.776.543.585.400.500.600.100
Receptors, Purinergic P2X2;D12.776.543.585.400.500.600.200
Receptors, Purinergic P2X3;D12.776.543.585.400.500.600.300
Receptors, Purinergic P2X4;D12.776.543.585.400.500.600.400
Receptors, Purinergic P2X5;D12.776.543.585.400.500.600.500
Receptors, Purinergic P2X7;D12.776.543.585.400.500.600.700
Porins;D12.776.543.585.400.730
Aquaporins;D12.776.543.585.400.730.040
Aquaglyceroporins;D12.776.543.585.400.730.040.249
Aquaporin 3;D12.776.543.585.400.730.040.249.500
Aquaporin 6;D12.776.543.585.400.730.040.249.750
Aquaporin 1;D12.776.543.585.400.730.040.436
Aquaporin 2;D12.776.543.585.400.730.040.530
Aquaporin 4;D12.776.543.585.400.730.040.577
Aquaporin 5;D12.776.543.585.400.730.040.600
Voltage-Dependent Anion Channels;D12.776.543.585.400.730.520
Voltage-Dependent Anion Channel 1;D12.776.543.585.400.730.520.500
Voltage-Dependent Anion Channel 2;D12.776.543.585.400.730.520.750
Potassium Channels;D12.776.543.585.400.750
Potassium Channels, Calcium-Activated;D12.776.543.585.400.750.150
Intermediate-Conductance Calcium-Activated Potassium Channels;D12.776.543.585.400.750.150.249
Large-Conductance Calcium-Activated Potassium Channels;D12.776.543.585.400.750.150.500
Large-Conductance Calcium-Activated Potassium Channel alpha Subunits;D12.776.543.585.400.750.150.500.249
Large-Conductance Calcium-Activated Potassium Channel beta Subunits;D12.776.543.585.400.750.150.500.500
Small-Conductance Calcium-Activated Potassium Channels;D12.776.543.585.400.750.150.750
Potassium Channels, Inwardly Rectifying;D12.776.543.585.400.750.450
G Protein-Coupled Inwardly-Rectifying Potassium Channels;D12.776.543.585.400.750.450.500
KATP Channels;D12.776.543.585.400.750.450.550
Sulfonylurea Receptors;D12.776.543.585.400.750.450.550.500
Potassium Channels, Tandem Pore Domain;D12.776.543.585.400.750.850
Potassium Channels, Voltage-Gated;D12.776.543.585.400.750.900
Delayed Rectifier Potassium Channels;D12.776.543.585.400.750.900.124
KCNQ Potassium Channels;D12.776.543.585.400.750.900.124.249
KCNQ1 Potassium Channel;D12.776.543.585.400.750.900.124.249.500
KCNQ2 Potassium Channel;D12.776.543.585.400.750.900.124.249.750
KCNQ3 Potassium Channel;D12.776.543.585.400.750.900.124.249.875
Kv1.5 Potassium Channel;D12.776.543.585.400.750.900.124.374
Shab Potassium Channels;D12.776.543.585.400.750.900.124.500
Ether-A-Go-Go Potassium Channels;D12.776.543.585.400.750.900.249
ERG1 Potassium Channel;D12.776.543.585.400.750.900.249.500
Shaker Superfamily of Potassium Channels;D12.776.543.585.400.750.900.624
Kv1.1 Potassium Channel;D12.776.543.585.400.750.900.624.124
Kv1.2 Potassium Channel;D12.776.543.585.400.750.900.624.186
Kv1.3 Potassium Channel;D12.776.543.585.400.750.900.624.217
Kv1.4 Potassium Channel;D12.776.543.585.400.750.900.624.233
Kv1.5 Potassium Channel;D12.776.543.585.400.750.900.624.241
Kv1.6 Potassium Channel;D12.776.543.585.400.750.900.624.245
Shab Potassium Channels;D12.776.543.585.400.750.900.624.249
Shal Potassium Channels;D12.776.543.585.400.750.900.624.625
Shaw Potassium Channels;D12.776.543.585.400.750.900.624.750
Sodium Channels;D12.776.543.585.400.875
Acid Sensing Ion Channels;D12.776.543.585.400.875.050
Degenerin Sodium Channels;D12.776.543.585.400.875.100
Epithelial Sodium Channels;D12.776.543.585.400.875.200
Voltage-Gated Sodium Channels;D12.776.543.585.400.875.750
NAV1.1 Voltage-Gated Sodium Channel;D12.776.543.585.400.875.750.100
NAV1.2 Voltage-Gated Sodium Channel;D12.776.543.585.400.875.750.200
NAV1.3 Voltage-Gated Sodium Channel;D12.776.543.585.400.875.750.300
NAV1.4 Voltage-Gated Sodium Channel;D12.776.543.585.400.875.750.400
NAV1.5 Voltage-Gated Sodium Channel;D12.776.543.585.400.875.750.500
NAV1.6 Voltage-Gated Sodium Channel;D12.776.543.585.400.875.750.600
NAV1.7 Voltage-Gated Sodium Channel;D12.776.543.585.400.875.750.700
NAV1.8 Voltage-Gated Sodium Channel;D12.776.543.585.400.875.750.800
NAV1.9 Voltage-Gated Sodium Channel;D12.776.543.585.400.875.750.900
Voltage-Gated Sodium Channel beta Subunits;D12.776.543.585.400.875.750.970
Voltage-Gated Sodium Channel beta-1 Subunit;D12.776.543.585.400.875.750.970.100
Voltage-Gated Sodium Channel beta-2 Subunit;D12.776.543.585.400.875.750.970.200
Voltage-Gated Sodium Channel beta-3 Subunit;D12.776.543.585.400.875.750.970.300
Voltage-Gated Sodium Channel beta-4 Subunit;D12.776.543.585.400.875.750.970.650
Transient Receptor Potential Channels;D12.776.543.585.400.901
TRPC Cation Channels;D12.776.543.585.400.901.500
TRPM Cation Channels;D12.776.543.585.400.901.555
TRPP Cation Channels;D12.776.543.585.400.901.777
Ion Pumps;D12.776.543.585.450
Anion Transport Proteins;D12.776.543.585.450.074
Halorhodopsins;D12.776.543.585.450.074.249
Organic Anion Transporters;D12.776.543.585.450.074.500
Dicarboxylic Acid Transporters;D12.776.543.585.450.074.500.149
Folic Acid Transporters;D12.776.543.585.450.074.500.224
Folate Receptors, GPI-Anchored;D12.776.543.585.450.074.500.224.500
Folate Receptor 1;D12.776.543.585.450.074.500.224.500.500
Folate Receptor 2;D12.776.543.585.450.074.500.224.500.750
Proton-Coupled Folate Transporter;D12.776.543.585.450.074.500.224.625
Reduced Folate Carrier Protein;D12.776.543.585.450.074.500.224.750
Monocarboxylic Acid Transporters;D12.776.543.585.450.074.500.300
Organic Anion Transporters, ATP-Dependent;D12.776.543.585.450.074.500.500
Multidrug Resistance-Associated Proteins;D12.776.543.585.450.074.500.500.500
Cystic Fibrosis Transmembrane Conductance Regulator;D12.776.543.585.450.074.500.500.500.500
P-Glycoproteins;D12.776.543.585.450.074.500.500.875
Antigen Peptide Transporter-1;D12.776.543.585.450.074.500.500.875.250
Antigen Peptide Transporter-2;D12.776.543.585.450.074.500.500.875.375
P-Glycoprotein;D12.776.543.585.450.074.500.500.875.500
Organic Anion Transporters, Sodium-Dependent;D12.776.543.585.450.074.500.812
Sodium-Coupled Vitamin C Transporters;D12.776.543.585.450.074.500.812.500
Organic Anion Transporters, Sodium-Independent;D12.776.543.585.450.074.500.875
Solute Carrier Organic Anion Transporter Family Member 1b1;D12.776.543.585.450.074.500.875.500
Organic Anion Transport Protein 1;D12.776.543.585.450.074.500.875.750
Phosphate Transport Proteins;D12.776.543.585.450.074.750
Proton-Phosphate Symporters;D12.776.543.585.450.074.750.500
Sodium-Phosphate Cotransporter Proteins;D12.776.543.585.450.074.750.750
Sodium-Phosphate Cotransporter Proteins, Type I;D12.776.543.585.450.074.750.750.500
Sodium-Phosphate Cotransporter Proteins, Type II;D12.776.543.585.450.074.750.750.750
Sodium-Phosphate Cotransporter Proteins, Type IIa;D12.776.543.585.450.074.750.750.750.124
Sodium-Phosphate Cotransporter Proteins, Type IIb;D12.776.543.585.450.074.750.750.750.249
Sodium-Phosphate Cotransporter Proteins, Type IIc;D12.776.543.585.450.074.750.750.750.500
Sodium-Phosphate Cotransporter Proteins, Type III;D12.776.543.585.450.074.750.750.875
Antiporters;D12.776.543.585.450.162
Chloride-Bicarbonate Antiporters;D12.776.543.585.450.162.193
Anion Exchange Protein 1, Erythrocyte;D12.776.543.585.450.162.193.500
Mitochondrial ADP, ATP Translocases;D12.776.543.585.450.162.225
Adenine Nucleotide Translocator 1;D12.776.543.585.450.162.225.100
Adenine Nucleotide Translocator 2;D12.776.543.585.450.162.225.200
Adenine Nucleotide Translocator 3;D12.776.543.585.450.162.225.300
Organic Anion Transport Protein 1;D12.776.543.585.450.162.234
Potassium-Hydrogen Antiporters;D12.776.543.585.450.162.276
Reduced Folate Carrier Protein;D12.776.543.585.450.162.359
Sodium-Calcium Exchanger;D12.776.543.585.450.162.442
